Fecha,Por dia
15 mar 2020,0
16 mar 2020,1
17 mar 2020,3
18 mar 2020,0
19 mar 2020,0
20 mar 2020,0
21 mar 2020,3
22 mar 2020,0
23 mar 2020,6
24 mar 2020,6
25 mar 2020,6
26 mar 2020,6
27 mar 2020,0
28 mar 2020,6
29 mar 2020,0
30 mar 2020,6
31 mar 2020,3
1 abr 2020,3
2 abr 2020,1
3 abr 2020,2
4 abr 2020,2
5 abr 2020,0
6 abr 2020,6
7 abr 2020,2
8 abr 2020,11
9 abr 2020,5
10 abr 2020,10
11 abr 2020,4
12 abr 2020,1
13 abr 2020,9
14 abr 2020,1
15 abr 2020,5
16 abr 2020,5
17 abr 2020,27
18 abr 2020,3
19 abr 2020,21
20 abr 2020,17
21 abr 2020,17
22 abr 2020,17
23 abr 2020,21
24 abr 2020,4
25 abr 2020,6
26 abr 2020,14
27 abr 2020,11
28 abr 2020,10
29 abr 2020,20
30 abr 2020,31
1 may 2020,22
2 may 2020,12
3 may 2020,25
4 may 2020,12
5 may 2020,14
6 may 2020,29
7 may 2020,47
8 may 2020,45
9 may 2020,33
10 may 2020,46
11 may 2020,23
12 may 2020,48
13 may 2020,45
14 may 2020,60
15 may 2020,48
16 may 2020,52
17 may 2020,38
18 may 2020,53
19 may 2020,46
20 may 2020,32
21 may 2020,87
22 may 2020,27
23 may 2020,100
24 may 2020,62
25 may 2020,68
26 may 2020,86
27 may 2020,72
28 may 2020,79
29 may 2020,49
30 may 2020,125
31 may 2020,157
1 jun 2020,114
2 jun 2020,199
3 jun 2020,188
4 jun 2020,165
5 jun 2020,183
6 jun 2020,117
7 jun 2020,171
8 jun 2020,114
9 jun 2020,130
10 jun 2020,224
11 jun 2020,120
12 jun 2020,224
13 jun 2020,242
14 jun 2020,89
15 jun 2020,152
16 jun 2020,304
17 jun 2020,320
18 jun 2020,334
19 jun 2020,273
20 jun 2020,387
21 jun 2020,158
22 jun 2020,141
23 jun 2020,251
24 jun 2020,509
25 jun 2020,508
26 jun 2020,406
27 jun 2020,266
28 jun 2020,142
29 jun 2020,288
30 jun 2020,339
1 jul 2020,281
2 jul 2020,447
3 jul 2020,355
4 jul 2020,453
5 jul 2020,336
6 jul 2020,398
7 jul 2020,348
8 jul 2020,376
9 jul 2020,328
10 jul 2020,440
11 jul 2020,680
12 jul 2020,381
13 jul 2020,419
14 jul 2020,355
15 jul 2020,476
16 jul 2020,217
17 jul 2020,466
18 jul 2020,456
19 jul 2020,328
20 jul 2020,443
21 jul 2020,369
22 jul 2020,296
23 jul 2020,390
24 jul 2020,642
25 jul 2020,604
26 jul 2020,524
27 jul 2020,431
28 jul 2020,617
29 jul 2020,540
30 jul 2020,520
31 jul 2020,613
1 ago 2020,608
2 ago 2020,375
3 ago 2020,0
4 ago 2020,538
5 ago 2020,302
6 ago 2020,300
7 ago 2020,605
8 ago 2020,415
9 ago 2020,376
10 ago 2020,323
11 ago 2020,404
12 ago 2020,267
13 ago 2020,275
14 ago 2020,483
15 ago 2020,313
16 ago 2020,302
17 ago 2020,333
18 ago 2020,423
19 ago 2020,313
20 ago 2020,350
21 ago 2020,330
22 ago 2020,176
23 ago 2020,100
24 ago 2020,243
25 ago 2020,438
26 ago 2020,307
27 ago 2020,312
28 ago 2020,454
29 ago 2020,491
30 ago 2020,352
31 ago 2020,449
1 sept 2020,295
2 sept 2020,377
3 sept 2020,585
4 sept 2020,325
5 sept 2020,499
6 sept 2020,289
7 sept 2020,246
8 sept 2020,170
9 sept 2020,671
10 sept 2020,401
11 sept 2020,378
12 sept 2020,495
13 sept 2020,265
14 sept 2020,334
15 sept 2020,223
16 sept 2020,347
17 sept 2020,195
18 sept 2020,309
19 sept 2020,296
20 sept 2020,217
21 sept 2020,141
22 sept 2020,398
23 sept 2020,173
24 sept 2020,248
25 sept 2020,318
26 sept 2020,171
27 sept 2020,234
28 sept 2020,263
29 sept 2020,111
30 sept 2020,229
1 oct 2020,183
2 oct 2020,306
3 oct 2020,182
4 oct 2020,140
5 oct 2020,275
6 oct 2020,223
7 oct 2020,115
8 oct 2020,195
9 oct 2020,137
10 oct 2020,273
11 oct 2020,226
12 oct 2020,236
13 oct 2020,118
14 oct 2020,156
15 oct 2020,299
16 oct 2020,298
17 oct 2020,285
18 oct 2020,120
19 oct 2020,187
20 oct 2020,272
21 oct 2020,350
22 oct 2020,317
23 oct 2020,409
24 oct 2020,373
25 oct 2020,163
26 oct 2020,123
27 oct 2020,499
28 oct 2020,245
29 oct 2020,416
30 oct 2020,353
31 oct 2020,382
1 nov 2020,285
2 nov 2020,244
3 nov 2020,364
4 nov 2020,421
5 nov 2020,401
6 nov 2020,377
7 nov 2020,434
8 nov 2020,320
9 nov 2020,277
10 nov 2020,289
11 nov 2020,491
12 nov 2020,396
13 nov 2020,344
14 nov 2020,391
15 nov 2020,179
16 nov 2020,237
17 nov 2020,176
18 nov 2020,386
19 nov 2020,164
20 nov 2020,464
21 nov 2020,441
22 nov 2020,795
23 nov 2020,1051
24 nov 2020,522
25 nov 2020,1104
26 nov 2020,331
27 nov 2020,885
28 nov 2020,602
29 nov 2020,517
30 nov 2020,576
1 dic 2020,369
2 dic 2020,1273
3 dic 2020,874
4 dic 2020,821
5 dic 2020,686
6 dic 2020,476
7 dic 2020,506
8 dic 2020,573
9 dic 2020,1075
10 dic 2020,631
11 dic 2020,875
12 dic 2020,859
13 dic 2020,492
14 dic 2020,795
15 dic 2020,293
16 dic 2020,635
17 dic 2020,741
18 dic 2020,896
19 dic 2020,796
20 dic 2020,471
21 dic 2020,595
22 dic 2020,633
23 dic 2020,572
24 dic 2020,937
25 dic 2020,384
26 dic 2020,420
27 dic 2020,481
28 dic 2020,244
29 dic 2020,576
30 dic 2020,705
31 dic 2020,657
1 ene 2021,323
2 ene 2021,505
3 ene 2021,335
4 ene 2021,351
5 ene 2021,475
6 ene 2021,463
7 ene 2021,478
8 ene 2021,788
9 ene 2021,762
10 ene 2021,339
11 ene 2021,639
12 ene 2021,504
13 ene 2021,522
14 ene 2021,803
15 ene 2021,597
16 ene 2021,3329
17 ene 2021,567
18 ene 2021,498
19 ene 2021,1185
20 ene 2021,1152
21 ene 2021,1152
22 ene 2021,1258
23 ene 2021,1182
24 ene 2021,763
25 ene 2021,868
26 ene 2021,791
27 ene 2021,769
28 ene 2021,773
29 ene 2021,1019
30 ene 2021,687
31 ene 2021,355
1 feb 2021,424
2 feb 2021,356
3 feb 2021,325
4 feb 2021,648
5 feb 2021,584
6 feb 2021,934
7 feb 2021,378
8 feb 2021,311
9 feb 2021,417
10 feb 2021,642
11 feb 2021,697
12 feb 2021,470
13 feb 2021,468
14 feb 2021,296
15 feb 2021,376
16 feb 2021,239
17 feb 2021,316
18 feb 2021,591
19 feb 2021,477
20 feb 2021,437
21 feb 2021,179
22 feb 2021,124
23 feb 2021,320
24 feb 2021,411
25 feb 2021,519
26 feb 2021,473
27 feb 2021,395
28 feb 2021,164
1 mar 2021,80
2 mar 2021,415
3 mar 2021,449
4 mar 2021,337
5 mar 2021,324
6 mar 2021,478
7 mar 2021,147
8 mar 2021,172
9 mar 2021,347
10 mar 2021,370
11 mar 2021,268
12 mar 2021,292
13 mar 2021,460
14 mar 2021,115
15 mar 2021,145
16 mar 2021,256
17 mar 2021,155
18 mar 2021,387
19 mar 2021,261
20 mar 2021,428
21 mar 2021,133
22 mar 2021,228
23 mar 2021,95
24 mar 2021,275
25 mar 2021,379
26 mar 2021,305
27 mar 2021,301
28 mar 2021,71
29 mar 2021,61
30 mar 2021,187
31 mar 2021,318
1 abr 2021,171
2 abr 2021,65
3 abr 2021,29
4 abr 2021,35
5 abr 2021,46
6 abr 2021,167
